name,compound,doi
ginkgo biloba,δ8-15:1-anacardic acid,10.1007/S11306-009-0195-X
ginkgo biloba,"3,4-dihydroxybenzoic acid",10.1007/S11306-009-0195-X
ginkgo biloba,ginkgolides b,10.1007/S11306-009-0195-X
ginkgo biloba,"3-(2-o-[6-o-(p-coumaroyl)-β-d-glucopyranosyl]-α-l-rhamnopyranosyloxy)-40,5,7-trihydroxyflavone",10.1007/S11306-009-0195-X
citrus depressa,nobiletin,10.3892/IJO.2015.2946
citrus reticulate,nobiletin,10.3892/IJO.2015.2946
scutellaria baicalensis,wogon,10.1186/1742-6405-2-12
scutellaria baicalensis,skullcapflavone i,10.1186/1742-6405-2-12
scutellaria baicalensis,skullcapflavone ii,10.1186/1742-6405-2-12
scutellaria baicalensis,baicalein,10.1186/1742-6405-2-12
