,example_compound_name,InChIKey,InChIKey_simp,organism_name,accepted_name,accepted_name_w_author,accepted_species,accepted_family,refDOI,sanitised_dois
358249,β-amyrin,JFSHUTJDVKUMTJ-QHPUVITPSA-N,JFSHUTJDVKUMTJ,Dorstenia heringeri,Dorstenia brasiliensis,Dorstenia brasiliensis Lam.,Dorstenia brasiliensis,Moraceae,10.1590/S0103-50531997000500016,10.1590_S0103-50531997000500016
358341,β-amyrin,JFSHUTJDVKUMTJ-QHPUVITPSA-N,JFSHUTJDVKUMTJ,Dorstenia carautae,Dorstenia carautae,Dorstenia carautae C.C.Berg,Dorstenia carautae,Moraceae,10.1590/S0103-50531997000500016,10.1590_S0103-50531997000500016
358267,α-amyrin,FSLPMRQHCOLESF-SFMCKYFRSA-N,FSLPMRQHCOLESF,Dorstenia carautae,Dorstenia carautae,Dorstenia carautae C.C.Berg,Dorstenia carautae,Moraceae,10.1590/S0103-50531997000500016,10.1590_S0103-50531997000500016
358342,β-amyrin,JFSHUTJDVKUMTJ-QHPUVITPSA-N,JFSHUTJDVKUMTJ,Dorstenia cayapia,Dorstenia cayapia,Dorstenia cayapia Vell.,Dorstenia cayapia,Moraceae,10.1590/S0103-50531997000500016,10.1590_S0103-50531997000500016
357511,beta-Amyrone,LIIFBMGUDSHTOU-CFYIDONUSA-N,LIIFBMGUDSHTOU,Dorstenia cayapia,Dorstenia cayapia,Dorstenia cayapia Vell.,Dorstenia cayapia,Moraceae,10.1590/S0103-50531997000500016,10.1590_S0103-50531997000500016
358615,Acetyl taraxerol,YWJGYBXHXATAQY-BOTWUFHUSA-N,YWJGYBXHXATAQY,Dorstenia cayapia,Dorstenia cayapia,Dorstenia cayapia Vell.,Dorstenia cayapia,Moraceae,10.1590/S0103-50531997000500016,10.1590_S0103-50531997000500016
358641,"17-(5-ethyl-6-methylheptan-2-yl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",KZJWDPNRJALLNS-UHFFFAOYSA-N,KZJWDPNRJALLNS,Dorstenia cayapia,Dorstenia cayapia,Dorstenia cayapia Vell.,Dorstenia cayapia,Moraceae,10.1590/S0103-50531997000500016,10.1590_S0103-50531997000500016
358268,α-amyrin,FSLPMRQHCOLESF-SFMCKYFRSA-N,FSLPMRQHCOLESF,Dorstenia cayapia,Dorstenia cayapia,Dorstenia cayapia Vell.,Dorstenia cayapia,Moraceae,10.1590/S0103-50531997000500016,10.1590_S0103-50531997000500016
497199,floribundasaponin A,CGQPDIYJWNSEQF-BJNUSKFXSA-N,CGQPDIYJWNSEQF,Dracaena mannii,Dracaena mannii,Dracaena mannii Baker,Dracaena mannii,Asparagaceae,10.1007/S12272-001-1208-3,10.1007_S12272-001-1208-3
497187,mannioside A,PESPHCXEIPYBIA-ROYLHSTISA-N,PESPHCXEIPYBIA,Dracaena mannii,Dracaena mannii,Dracaena mannii Baker,Dracaena mannii,Asparagaceae,10.1007/S12272-001-1208-3,10.1007_S12272-001-1208-3
292676,alpha-linolenic acid,DTOSIQBPPRVQHS-PDBXOOCHSA-N,DTOSIQBPPRVQHS,Lallemantia royleana,Dracocephalum royleanum,Dracocephalum royleanum Benth.,Dracocephalum royleanum,Lamiaceae,10.1007/BF03049128,10.1007_BF03049128
292934,"octadeca-9,12,15-trienoic acid",DTOSIQBPPRVQHS-UHFFFAOYSA-N,DTOSIQBPPRVQHS,Lallemantia royleana,Dracocephalum royleanum,Dracocephalum royleanum Benth.,Dracocephalum royleanum,Lamiaceae,10.1007/BF03049128,10.1007_BF03049128
65525,"1beta,6alpha-dihydroxy-4(14)-eudesmene",WKKJGHCXVKEJNU-QRTUWBSPSA-N,WKKJGHCXVKEJNU,Drimia altissima,Drimia altissima,Drimia altissima (L.f.) Ker Gawl.,Drimia altissima,Asparagaceae,10.1021/NP2002012,10.1021_NP2002012
523426,(-)-tau-muurolol,LHYHMMRYTDARSZ-AJNGGQMLSA-N,LHYHMMRYTDARSZ,Drimys brasiliensis,Drimys brasiliensis,Drimys brasiliensis Miers,Drimys brasiliensis,Winteraceae,10.1590/S0103-50532010000900024,10.1590_S0103-50532010000900024
523424,globulol,AYXPYQRXGNDJFU-QTPLKFIXSA-N,AYXPYQRXGNDJFU,Drimys brasiliensis,Drimys brasiliensis,Drimys brasiliensis Miers,Drimys brasiliensis,Winteraceae,10.1590/S0103-50532010000900024,10.1590_S0103-50532010000900024
523422,polygodial,AZJUJOFIHHNCSV-KCQAQPDRSA-N,AZJUJOFIHHNCSV,Drimys brasiliensis,Drimys brasiliensis,Drimys brasiliensis Miers,Drimys brasiliensis,Winteraceae,10.1590/S0103-50532010000900024,10.1590_S0103-50532010000900024
423154,fernene,ZHDRLFGZQZCZKX-BQOUFORSSA-N,ZHDRLFGZQZCZKX,Aglaomorpha fortunei,Drynaria roosii,Drynaria roosii Nakaike,Drynaria roosii,Polypodiaceae,10.1186/1749-8546-2-13,10.1186_1749-8546-2-13
422771,fernene,ZHDRLFGZQZCZKX-BQOUFORSSA-N,ZHDRLFGZQZCZKX,Drynaria roosii,Drynaria roosii,Drynaria roosii Nakaike,Drynaria roosii,Polypodiaceae,10.1186/1749-8546-2-13,10.1186_1749-8546-2-13
43693,fernene,ZHDRLFGZQZCZKX-BQOUFORSSA-N,ZHDRLFGZQZCZKX,Drynaria fortunei,Drynaria roosii,Drynaria roosii Nakaike,Drynaria roosii,Polypodiaceae,10.1186/1749-8546-2-13,10.1186_1749-8546-2-13
345466,rohitukine,MOCVYVBNJQIVOV-TVQRCGJNSA-N,MOCVYVBNJQIVOV,Dysoxylum acutangulum,Dysoxylum acutangulum,Dysoxylum acutangulum Miq.,Dysoxylum acutangulum,Meliaceae,10.1021/NP9003849,10.1021_NP9003849
345562,chrotacumine C,HVKVOCXJBCFWGR-YCRPNKLZSA-N,HVKVOCXJBCFWGR,Dysoxylum acutangulum,Dysoxylum acutangulum,Dysoxylum acutangulum Miq.,Dysoxylum acutangulum,Meliaceae,10.1021/NP9003849,10.1021_NP9003849
345465,"5,7-dihydroxy-2-methylchromone",NCUJRUDLFCGVOE-UHFFFAOYSA-N,NCUJRUDLFCGVOE,Dysoxylum acutangulum,Dysoxylum acutangulum,Dysoxylum acutangulum Miq.,Dysoxylum acutangulum,Meliaceae,10.1021/NP9003849,10.1021_NP9003849
345491,chrotacumine B,DSBBHVSUDLJUOE-ZKYNRCFLSA-N,DSBBHVSUDLJUOE,Dysoxylum acutangulum,Dysoxylum acutangulum,Dysoxylum acutangulum Miq.,Dysoxylum acutangulum,Meliaceae,10.1021/NP9003849,10.1021_NP9003849
345546,"methyl (1S,2S,4R,7S,8S,10S,11S,15R,16R)-10-acetyloxy-4-hydroxy-15-[(1S)-3-(2-hydroxypropan-2-yl)-4-oxocyclopent-2-en-1-yl]-2,7,11,16-tetramethyl-5-oxatetracyclo[9.7.0.02,8.012,16]octadec-12-ene-7-carboxylate",GRXFUJSSMQEJAK-GCVWKLIDSA-N,GRXFUJSSMQEJAK,Dysoxylum acutangulum,Dysoxylum acutangulum,Dysoxylum acutangulum Miq.,Dysoxylum acutangulum,Meliaceae,10.1016/J.TETLET.2009.05.110,10.1016_J.TETLET.2009.05.110
345508,chrotacumine D,RIKKYJZEZQRRQP-YCRPNKLZSA-N,RIKKYJZEZQRRQP,Dysoxylum acutangulum,Dysoxylum acutangulum,Dysoxylum acutangulum Miq.,Dysoxylum acutangulum,Meliaceae,10.1021/NP9003849,10.1021_NP9003849
345490,"[(1S,13S,16S)-9-hydroxy-5,14-dimethyl-7-oxo-4,12-dioxa-14-azatetracyclo[11.3.1.02,11.03,8]heptadeca-2(11),3(8),5,9-tetraen-16-yl] benzoate",PJWARXSHHFSDKD-ZMYBRWDISA-N,PJWARXSHHFSDKD,Dysoxylum acutangulum,Dysoxylum acutangulum,Dysoxylum acutangulum Miq.,Dysoxylum acutangulum,Meliaceae,10.1021/NP9003849,10.1021_NP9003849
345517,"[(1R,13R,16S)-9-hydroxy-5,14-dimethyl-7-oxo-4,12-dioxa-14-azatetracyclo[11.3.1.02,11.03,8]heptadeca-2(11),3(8),5,9-tetraen-16-yl] benzoate",PJWARXSHHFSDKD-GDIGMMSISA-N,PJWARXSHHFSDKD,Dysoxylum acutangulum,Dysoxylum acutangulum,Dysoxylum acutangulum Miq.,Dysoxylum acutangulum,Meliaceae,10.1021/NP9003849,10.1021_NP9003849
345458,Schumanniofioside A,MSNMNLUHZBFJDF-YMILTQATSA-N,MSNMNLUHZBFJDF,Dysoxylum acutangulum,Dysoxylum acutangulum,Dysoxylum acutangulum Miq.,Dysoxylum acutangulum,Meliaceae,10.1021/NP9003849,10.1021_NP9003849
345509,"methyl (1S,2S,4R,7S,8S,10S,11S,15R,16R)-4,10-dihydroxy-2,7,11,16-tetramethyl-15-[(1S)-4-oxo-3-propan-2-ylcyclopent-2-en-1-yl]-5-oxatetracyclo[9.7.0.02,8.012,16]octadec-12-ene-7-carboxylate",IDMWOHXJYNRHRH-ISGJTBJZSA-N,IDMWOHXJYNRHRH,Dysoxylum acutangulum,Dysoxylum acutangulum,Dysoxylum acutangulum Miq.,Dysoxylum acutangulum,Meliaceae,10.1016/J.TETLET.2009.05.110,10.1016_J.TETLET.2009.05.110
345542,"[(3S,4R)-4-(5,7-dihydroxy-2-methyl-4-oxochromen-8-yl)-1-methylpiperidin-3-yl] 2-methylbut-2-enoate",DSBBHVSUDLJUOE-SUMWQHHRSA-N,DSBBHVSUDLJUOE,Dysoxylum acutangulum,Dysoxylum acutangulum,Dysoxylum acutangulum Miq.,Dysoxylum acutangulum,Meliaceae,10.1021/NP9003849,10.1021_NP9003849
112001,"N-Isobutylundeca-2(E)-en-8,10-diynamide",YKYOIMJLSMZUBA-VAWYXSNFSA-N,YKYOIMJLSMZUBA,Echinacea angustifolia,Echinacea angustifolia,Echinacea angustifolia DC.,Echinacea angustifolia,Asteraceae,10.3390/10101279,10.3390_10101279
111100,"(2E,2E,8Z,10Z)-dodecatetraenoic acid isobutylamide",VLGRWXYRKYWRPX-VSRLVKTQSA-N,VLGRWXYRKYWRPX,Echinacea angustifolia,Echinacea angustifolia,Echinacea angustifolia DC.,Echinacea angustifolia,Asteraceae,10.3390/10101279,10.3390_10101279
150001,"[(1R,5R,6R)-7-oxa-1-azoniatricyclo[4.2.2.01,5]dec-3-en-4-yl]methyl (Z)-2-methylbut-2-enoate",LCJIMXGKKRDCFW-YCORHUJWSA-N,LCJIMXGKKRDCFW,Echium glomeratum,Echium glomeratum,Echium glomeratum Poir.,Echium glomeratum,Boraginaceae,10.1016/J.PHYTOCHEM.2008.06.017,10.1016_J.PHYTOCHEM.2008.06.017
149998,"[(1R,5S,6R)-7-oxa-1-azoniatricyclo[4.2.2.01,5]dec-3-en-4-yl]methyl (Z)-2-methylbut-2-enoate",LCJIMXGKKRDCFW-WROWXDLUSA-N,LCJIMXGKKRDCFW,Echium glomeratum,Echium glomeratum,Echium glomeratum Poir.,Echium glomeratum,Boraginaceae,10.1016/J.PHYTOCHEM.2008.06.017,10.1016_J.PHYTOCHEM.2008.06.017
150036,"[(1S,5R,6S)-7-oxa-1-azoniatricyclo[4.2.2.01,5]dec-3-en-4-yl]methyl (Z)-2-methylbut-2-enoate",LCJIMXGKKRDCFW-GVWUGZRQSA-N,LCJIMXGKKRDCFW,Echium glomeratum,Echium glomeratum,Echium glomeratum Poir.,Echium glomeratum,Boraginaceae,10.1016/J.PHYTOCHEM.2008.06.017,10.1016_J.PHYTOCHEM.2008.06.017
149814,9-Angeloylretronecine,VYUQPLFRNDQDHW-BTRLNGJCSA-N,VYUQPLFRNDQDHW,Echium glomeratum,Echium glomeratum,Echium glomeratum Poir.,Echium glomeratum,Boraginaceae,10.1016/J.PHYTOCHEM.2008.06.017,10.1016_J.PHYTOCHEM.2008.06.017
150037,"[(1S,5S,6S)-7-oxa-1-azoniatricyclo[4.2.2.01,5]dec-3-en-4-yl]methyl (Z)-2-methylbut-2-enoate",LCJIMXGKKRDCFW-ONAIENKESA-N,LCJIMXGKKRDCFW,Echium glomeratum,Echium glomeratum,Echium glomeratum Poir.,Echium glomeratum,Boraginaceae,10.1016/J.PHYTOCHEM.2008.06.017,10.1016_J.PHYTOCHEM.2008.06.017
150587,7-angelylretronecine,TYGYPIIOOQNWBU-BTRLNGJCSA-N,TYGYPIIOOQNWBU,Echium glomeratum,Echium glomeratum,Echium glomeratum Poir.,Echium glomeratum,Boraginaceae,10.1016/J.PHYTOCHEM.2008.06.017,10.1016_J.PHYTOCHEM.2008.06.017
150079,7-Angeloylretronecine,TYGYPIIOOQNWBU-UHFFFAOYSA-N,TYGYPIIOOQNWBU,Echium horridum,Echium horridum,Echium horridum Batt.,Echium horridum,Boraginaceae,10.1016/J.PHYTOCHEM.2008.06.017,10.1016_J.PHYTOCHEM.2008.06.017
150080,7-Angeloylretronecine,TYGYPIIOOQNWBU-UHFFFAOYSA-N,TYGYPIIOOQNWBU,Echium rauwolfii,Echium rauwolfii,Echium rauwolfii Delile,Echium rauwolfii,Boraginaceae,10.1016/J.PHYTOCHEM.2008.06.017,10.1016_J.PHYTOCHEM.2008.06.017
149221,7-Angeloylretronecine,TYGYPIIOOQNWBU-UHFFFAOYSA-N,TYGYPIIOOQNWBU,Echium vulgare,Echium vulgare,Echium vulgare L.,Echium vulgare,Boraginaceae,10.1016/J.PHYTOCHEM.2008.06.017,10.1016_J.PHYTOCHEM.2008.06.017
149171,"(7-hydroxy-5,6,7,8-tetrahydro-3H-pyrrolizin-1-yl)methyl 2-methylbut-2-enoate",VYUQPLFRNDQDHW-UHFFFAOYSA-N,VYUQPLFRNDQDHW,Echium vulgare,Echium vulgare,Echium vulgare L.,Echium vulgare,Boraginaceae,10.1016/J.PHYTOCHEM.2008.06.017,10.1016_J.PHYTOCHEM.2008.06.017
82002,"(2S,3R,4S,5S)-2-[(3R)-5-[(1S,4aS,8aS)-2,5,5,8a-tetramethyl-1,4,4a,6,7,8-hexahydronaphthalen-1-yl]-3-methylpent-1-en-3-yl]oxyoxane-3,4,5-triol",PAXVNVHHFVFSMM-NKHPGPQMSA-N,PAXVNVHHFVFSMM,Egletes viscosa,Egletes viscosa,Egletes viscosa (L.) Less.,Egletes viscosa,Asteraceae,10.1055/S-2005-871227,10.1055_S-2005-871227
82611,13-Episclareol (6CI),XVULBTBTFGYVRC-GRLGQGAKSA-N,XVULBTBTFGYVRC,Egletes viscosa,Egletes viscosa,Egletes viscosa (L.) Less.,Egletes viscosa,Asteraceae,10.1055/S-2005-871227,10.1055_S-2005-871227
81849,"(1R)-1-[(3R,4aS,6aS,10aS,10bR)-3,4a,7,7,10a-pentamethyl-2,5,6,6a,8,9,10,10b-octahydro-1H-benzo[f]chromen-3-yl]ethane-1,2-diol",KYTFZACHEUSLEA-BTRLNHGYSA-N,KYTFZACHEUSLEA,Egletes viscosa,Egletes viscosa,Egletes viscosa (L.) Less.,Egletes viscosa,Asteraceae,10.1055/S-2005-871227,10.1055_S-2005-871227
81651,"2-(2,4-Dimethoxyphenyl)-3,5,7-trihydroxychromen-4-one",CKAQGCVMFRCNPS-UHFFFAOYSA-N,CKAQGCVMFRCNPS,Egletes viscosa,Egletes viscosa,Egletes viscosa (L.) Less.,Egletes viscosa,Asteraceae,10.1055/S-2005-871227,10.1055_S-2005-871227
82078,"(4aS,8aS)-3,4a,8,8-tetramethyl-4-[(3R)-3-methyl-3-[(2S,3R,4S,5S)-3,4,5-trihydroxyoxan-2-yl]oxypent-4-enyl]-5,6,7,8a-tetrahydro-1H-naphthalen-2-one",TZANJAYUFBSKPK-FQBMDWTRSA-N,TZANJAYUFBSKPK,Egletes viscosa,Egletes viscosa,Egletes viscosa (L.) Less.,Egletes viscosa,Asteraceae,10.1055/S-2005-871227,10.1055_S-2005-871227
175575,naringenin,FTVWIRXFELQLPI-ZDUSSCGKSA-N,FTVWIRXFELQLPI,Elaeodendron croceum,Elaeodendron croceum,Elaeodendron croceum (Thunb.) DC.,Elaeodendron croceum,Celastraceae,10.1080/14786410903052399,10.1080_14786410903052399
175459,Tingenone,WSTYNZDAOAEEKG-QSPBTJQRSA-N,WSTYNZDAOAEEKG,Elaeodendron croceum,Elaeodendron croceum,Elaeodendron croceum (Thunb.) DC.,Elaeodendron croceum,Celastraceae,10.1080/14786410903052399,10.1080_14786410903052399
175632,22-Hydroxytingenone,QIRUFAFQGKOTKA-ZRWKYKNNSA-N,QIRUFAFQGKOTKA,Elaeodendron croceum,Elaeodendron croceum,Elaeodendron croceum (Thunb.) DC.,Elaeodendron croceum,Celastraceae,10.1080/14786410903052399,10.1080_14786410903052399
174885,"(6bS,8aS,11R,12aR,14aR)-3,11-dihydroxy-4,6a,6b,8a,11,14a-hexamethyl-8,9,12,12a,13,14-hexahydro-7H-picene-2,10-dione",LLINHWDEBZOLGN-RGEVBSDUSA-N,LLINHWDEBZOLGN,Elaeodendron croceum,Elaeodendron croceum,Elaeodendron croceum (Thunb.) DC.,Elaeodendron croceum,Celastraceae,10.1080/14786410903052399,10.1080_14786410903052399
175176,"(6bS)-4,4,6a,6b,8a,11,11,14b-octamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicene-3,14-diol",UBUHIKQRNDOKCZ-ICVGKJLSSA-N,UBUHIKQRNDOKCZ,Elaeodendron croceum,Elaeodendron croceum,Elaeodendron croceum (Thunb.) DC.,Elaeodendron croceum,Celastraceae,10.1080/14786410903052399,10.1080_14786410903052399
175638,"(6aS,6bS,8aS,11R,12aR,14aR)-3-hydroxy-4,6a,6b,8a,11,14a-hexamethyl-7,8,9,11,12,12a,13,14-octahydropicene-2,10-dione",WSTYNZDAOAEEKG-GWJSGULQSA-N,WSTYNZDAOAEEKG,Elaeodendron croceum,Elaeodendron croceum,Elaeodendron croceum (Thunb.) DC.,Elaeodendron croceum,Celastraceae,10.1080/14786410903052399,10.1080_14786410903052399
530907,(1R)-endo-(+)-fenchol,IAIHUHQCLTYTSF-OYNCUSHFSA-N,IAIHUHQCLTYTSF,Elettaria cardamomum,Elettaria cardamomum,Elettaria cardamomum (L.) Maton,Elettaria cardamomum,Zingiberaceae,10.1673/031.011.16501,10.1673_031.011.16501
8884,"(1S,3R,7S,9R,12S,13S,15R)-13-hydroxy-3,7,12-trimethyl-13-[(2R)-2-methyloxiran-2-yl]-10,14,16-trioxatetracyclo[7.5.1.13,6.012,15]hexadec-5-ene-4,11-dione",CDLFKJLFYKQREE-DVGHFYJSSA-N,CDLFKJLFYKQREE,Eremanthus seidelii,Eremanthus elaeagnus,Eremanthus elaeagnus (Mart. ex DC.) Sch.Bip.,Eremanthus elaeagnus,Asteraceae,10.1590/S0103-50532005000800016,10.1590_S0103-50532005000800016
9037,"[(2S,4R,8S,9S,11R)-2,11-dimethyl-7-methylidene-6,12-dioxo-5,14-dioxatricyclo[9.2.1.04,8]tetradec-1(13)-en-9-yl] 2,3-dihydroxy-2-methylpropanoate",YPLCCQMLBSLPHF-LVXGHRJKSA-N,YPLCCQMLBSLPHF,Eremanthus seidelii,Eremanthus elaeagnus,Eremanthus elaeagnus (Mart. ex DC.) Sch.Bip.,Eremanthus elaeagnus,Asteraceae,10.1590/S0103-50532005000800016,10.1590_S0103-50532005000800016
208435,"(2S,3S,4aS,6R,7S,8S,8aR)-2-(4-hydroxy-3,5-dimethoxyphenyl)-3,6-bis(hydroxymethyl)-3,4a,6,7,8,8a-hexahydro-2H-pyrano[2,3-b][1,4]dioxine-7,8-diol",OPZHDDBSGCGGIM-BBQXNENASA-N,OPZHDDBSGCGGIM,Erica arborea,Erica arborea,Erica arborea L.,Erica arborea,Ericaceae,10.1002/HLCA.200800379,10.1002_HLCA.200800379
208409,trans-caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,QAIPRVGONGVQAS,Erica arborea,Erica arborea,Erica arborea L.,Erica arborea,Ericaceae,10.1002/HLCA.200800379,10.1002_HLCA.200800379
208410,2-Phenylethyl D-rutinoside,OKUGUNDXBGUFPA-OCGSKHJZSA-N,OKUGUNDXBGUFPA,Erica arborea,Erica arborea,Erica arborea L.,Erica arborea,Ericaceae,10.1002/HLCA.200800379,10.1002_HLCA.200800379
208423,"(1S,2R)-1-(3,4,5-Trimethoxyphenyl)-2-(beta-D-glucopyranosyloxy)-1,3-propanediol",VVQORBWCJVXQBI-AWANAJDDSA-N,VVQORBWCJVXQBI,Erica arborea,Erica arborea,Erica arborea L.,Erica arborea,Ericaceae,10.1002/HLCA.200800379,10.1002_HLCA.200800379
208418,"(2R,3R,4aS,6R,7S,8S,8aR)-3-(4-hydroxy-3,5-dimethoxyphenyl)-2,6-bis(hydroxymethyl)-3,4a,6,7,8,8a-hexahydro-2H-pyrano[2,3-b][1,4]dioxine-7,8-diol",UYXZFQQYRZUIEJ-VQTGRZPPSA-N,UYXZFQQYRZUIEJ,Erica arborea,Erica arborea,Erica arborea L.,Erica arborea,Ericaceae,10.1002/HLCA.200800379,10.1002_HLCA.200800379
208402,caffeic acid,QAIPRVGONGVQAS-UHFFFAOYSA-N,QAIPRVGONGVQAS,Erica arborea,Erica arborea,Erica arborea L.,Erica arborea,Ericaceae,10.1002/HLCA.200800379,10.1002_HLCA.200800379
208427,hydrangeifolin I,SMUMBCREXHTKFN-VZOUQOBNSA-N,SMUMBCREXHTKFN,Erica arborea,Erica arborea,Erica arborea L.,Erica arborea,Ericaceae,10.1002/HLCA.200800379,10.1002_HLCA.200800379
72817,"5,7-dihydroxyflavanone",URFCJEUYXNAHFI-UHFFFAOYSA-N,URFCJEUYXNAHFI,Ericameria nauseosa,Ericameria nauseosa,Ericameria nauseosa (Pall. ex Pursh) G.L.Nesom & G.I.Baird,Ericameria nauseosa,Asteraceae,10.1016/J.BIOPHA.2022.113754,10.1016_J.BIOPHA.2022.113754
71773,"[(2S,3S)-5,7-dihydroxy-4-oxo-2-phenyl-2,3-dihydrochromen-3-yl] acetate",BJYHZSNSMVEQEH-DLBZAZTESA-N,BJYHZSNSMVEQEH,Ericameria nauseosa,Ericameria nauseosa,Ericameria nauseosa (Pall. ex Pursh) G.L.Nesom & G.I.Baird,Ericameria nauseosa,Asteraceae,10.1016/J.BIOPHA.2022.113754,10.1016_J.BIOPHA.2022.113754
73806,Q114780508,GOZQZLIRQUWELJ-OXFJHVSASA-N,GOZQZLIRQUWELJ,Ericameria nauseosa,Ericameria nauseosa,Ericameria nauseosa (Pall. ex Pursh) G.L.Nesom & G.I.Baird,Ericameria nauseosa,Asteraceae,10.1016/J.BIOPHA.2022.113754,10.1016_J.BIOPHA.2022.113754
73808,Q114780509,RFRFRFCFKSGCHT-SPOOISQMSA-N,RFRFRFCFKSGCHT,Ericameria nauseosa,Ericameria nauseosa,Ericameria nauseosa (Pall. ex Pursh) G.L.Nesom & G.I.Baird,Ericameria nauseosa,Asteraceae,10.1016/J.BIOPHA.2022.113754,10.1016_J.BIOPHA.2022.113754
72301,"5,7,3'-Trihydroxy-3,8,4'-trimethoxyflavone",TUSHYARAKPPYKX-UHFFFAOYSA-N,TUSHYARAKPPYKX,Ericameria nauseosa,Ericameria nauseosa,Ericameria nauseosa (Pall. ex Pursh) G.L.Nesom & G.I.Baird,Ericameria nauseosa,Asteraceae,10.1016/J.BIOPHA.2022.113754,10.1016_J.BIOPHA.2022.113754
72455,"quercetin 3,3',4'-trimethyl ether",TWMBFWDMMIGYEO-UHFFFAOYSA-N,TWMBFWDMMIGYEO,Ericameria nauseosa,Ericameria nauseosa,Ericameria nauseosa (Pall. ex Pursh) G.L.Nesom & G.I.Baird,Ericameria nauseosa,Asteraceae,10.1016/J.BIOPHA.2022.113754,10.1016_J.BIOPHA.2022.113754
72299,"(2S)-3alpha,5,7-Trihydroxy-3',4'-dimethoxyflavanone",VPXSHTBKDURLGN-SJORKVTESA-N,VPXSHTBKDURLGN,Ericameria nauseosa,Ericameria nauseosa,Ericameria nauseosa (Pall. ex Pursh) G.L.Nesom & G.I.Baird,Ericameria nauseosa,Asteraceae,10.1016/J.BIOPHA.2022.113754,10.1016_J.BIOPHA.2022.113754
72319,galangin,VCCRNZQBSJXYJD-UHFFFAOYSA-N,VCCRNZQBSJXYJD,Ericameria nauseosa,Ericameria nauseosa,Ericameria nauseosa (Pall. ex Pursh) G.L.Nesom & G.I.Baird,Ericameria nauseosa,Asteraceae,10.1016/J.BIOPHA.2022.113754,10.1016_J.BIOPHA.2022.113754
72284,"7-Hydroxy-2-(3-methoxy-4-hydroxyphenyl)-3,5,8-trimethoxy-4H-1-benzopyran-4-one",BWMFGNNHQJQDSP-UHFFFAOYSA-N,BWMFGNNHQJQDSP,Ericameria nauseosa,Ericameria nauseosa,Ericameria nauseosa (Pall. ex Pursh) G.L.Nesom & G.I.Baird,Ericameria nauseosa,Asteraceae,10.1016/J.BIOPHA.2022.113754,10.1016_J.BIOPHA.2022.113754
72344,3-O-methylgalangin,LYISDADPVOHJBJ-UHFFFAOYSA-N,LYISDADPVOHJBJ,Ericameria nauseosa,Ericameria nauseosa,Ericameria nauseosa (Pall. ex Pursh) G.L.Nesom & G.I.Baird,Ericameria nauseosa,Asteraceae,10.1016/J.BIOPHA.2022.113754,10.1016_J.BIOPHA.2022.113754
73758,Q114780507,GZHBSJDUDUTIRW-HVXNZKGKSA-N,GZHBSJDUDUTIRW,Ericameria nauseosa,Ericameria nauseosa,Ericameria nauseosa (Pall. ex Pursh) G.L.Nesom & G.I.Baird,Ericameria nauseosa,Asteraceae,10.1016/J.BIOPHA.2022.113754,10.1016_J.BIOPHA.2022.113754
72024,"(2S)-2beta-Phenyl-2,3-dihydro-3alpha,5,7-trihydroxy-4H-1-benzopyran-4-one",SUYJZKRQHBQNCA-CABCVRRESA-N,SUYJZKRQHBQNCA,Ericameria nauseosa,Ericameria nauseosa,Ericameria nauseosa (Pall. ex Pursh) G.L.Nesom & G.I.Baird,Ericameria nauseosa,Asteraceae,10.1016/J.BIOPHA.2022.113754,10.1016_J.BIOPHA.2022.113754
72501,"3,3'-di-O-methylquercetin",FMEHGPQTMOPUGM-UHFFFAOYSA-N,FMEHGPQTMOPUGM,Ericameria nauseosa,Ericameria nauseosa,Ericameria nauseosa (Pall. ex Pursh) G.L.Nesom & G.I.Baird,Ericameria nauseosa,Asteraceae,10.1016/J.BIOPHA.2022.113754,10.1016_J.BIOPHA.2022.113754
72246,"7-hydroxy-2-(4-hydroxyphenyl)-3,5,8-trimethoxychromen-4-one",ISGDRVHPQWUPPZ-UHFFFAOYSA-N,ISGDRVHPQWUPPZ,Ericameria nauseosa,Ericameria nauseosa,Ericameria nauseosa (Pall. ex Pursh) G.L.Nesom & G.I.Baird,Ericameria nauseosa,Asteraceae,10.1016/J.BIOPHA.2022.113754,10.1016_J.BIOPHA.2022.113754
72724,"Gossypetin 3,8,3'-trimethyl ether",XZGZRRSEIISPEP-UHFFFAOYSA-N,XZGZRRSEIISPEP,Ericameria nauseosa,Ericameria nauseosa,Ericameria nauseosa (Pall. ex Pursh) G.L.Nesom & G.I.Baird,Ericameria nauseosa,Asteraceae,10.1016/J.BIOPHA.2022.113754,10.1016_J.BIOPHA.2022.113754
72435,dillenetin,MHALJYZRPGYQSI-UHFFFAOYSA-N,MHALJYZRPGYQSI,Ericameria nauseosa,Ericameria nauseosa,Ericameria nauseosa (Pall. ex Pursh) G.L.Nesom & G.I.Baird,Ericameria nauseosa,Asteraceae,10.1016/J.BIOPHA.2022.113754,10.1016_J.BIOPHA.2022.113754
